Date,Closing Price
2024-10-11,577.64
2024-10-14,582.36
2024-10-15,577.84
2024-10-16,580.35
2024-10-17,580.4
2024-10-18,582.63
2024-10-21,581.67
2024-10-22,581.36
2024-10-23,576.05
2024-10-24,577.3
2024-10-25,577.1
2024-10-28,578.88
2024-10-29,579.82
2024-10-30,578.06
2024-10-31,566.73
2024-11-01,569.12
2024-11-04,567.9
2024-11-05,574.77
2024-11-06,589.06
2024-11-07,593.61
2024-11-08,596.18
2024-11-11,596.75
2024-11-12,594.9
2024-11-13,595.19
2024-11-14,591.36
2024-11-15,583.79
2024-11-18,586.18
2024-11-19,588.32
2024-11-20,588.52
2024-11-21,591.68
2024-11-22,593.51
2024-11-25,595.53
2024-11-26,598.64
2024-11-27,596.82
2024-11-29,600.53
2024-12-02,601.61
2024-12-03,601.88
2024-12-04,605.62
2024-12-05,604.62
2024-12-06,605.77
2024-12-09,602.65
2024-12-10,600.78
2024-12-11,605.42
2024-12-12,602.3
2024-12-13,602.18
2024-12-16,604.75
2024-12-17,602.26
2024-12-18,584.31
2024-12-19,584.13
2024-12-20,591.15
2024-12-23,594.69
2024-12-24,601.3
2024-12-26,601.34
2024-12-27,595.01
2024-12-30,588.22
2024-12-31,586.08
2025-01-02,584.64
2025-01-03,591.95
2025-01-06,595.36
2025-01-07,588.63
2025-01-08,589.49
2025-01-10,580.49
